ParentRegion,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping,popularity
India,India East,IND_EA,350,++,++,+,o,o,o,--,--,--,+,++,++,,o,-,-,-,o,--,+,+,+,o,-
India,India West,IND_WE,350,++,++,+,o,o,o,--,--,--,+,++,++,,o,-,+,o,o,--,+,+,o,-,+
India,India South,IND_SO,350,++,++,+,o,o,--,--,--,--,o,++,++,,o,-,+,o,o,--,+,+,+,-,+
South Asia,Sri Lanka,LKA,360,+,+,+,o,-,-,-,o,+,o,+,+,o,o,-,+,+,o,--,+,o,o,-,o
South Asia,Maldives,MDV,350,++,++,++,o,-,o,o,o,-,-,-,-,+,-,--,++,++,o,--,o,o,-,--,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Southeast Asia,,,,,,,,,,,,,,,+,,,,,,,,,,,
Southeast Asia,Myanmar,MMR,450,++,++,o,--,--,--,-,-,-,o,++,++,+,o,o,o,o,o,--,++,o,-,-,o
Southeast Asia,Thailand North and Laos,THA_NO,360,++,++,+,--,--,-,-,-,-,o,++,++,+,+,+,-,--,+,--,+,+,+,-,+
Southeast Asia,Thailand South,THA_SO,375,++,+,+,-,-,o,o,o,o,+,++,++,+,+,o,++,+,o,--,o,+,-,-,++
Southeast Asia,Vietnam and Cambodia,VNM,375,++,++,+,--,--,-,-,-,-,o,++,++,+,+,o,o,-,o,--,+,o,o,--,+
Southeast Asia,West Malaysia and Singapur,MYS_WE,510,o,o,+,+,+,+,o,o,+,+,+,o,++,+,-,+,o,o,--,o,o,+,+,++
Southeast Asia,Borneo,MYS_BO,460,-,o,+,+,+,+,o,o,+,+,o,-,+,+,-,o,o,-,--,o,-,--,--,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Asia,Indonesia,,400,,,,,,,,,,,,,+,,,,,,,,,,,
Indonesia,Sumatra and Java,IDN_SU,400,--,-,o,o,++,++,++,++,+,o,-,--,,+,+,o,+,o,--,+,o,+,o,+
Indonesia,Bali and Lombok,IDN_BA,400,--,--,-,o,+,++,++,++,++,+,o,-,,+,o,+,+,o,--,o,o,o,-,++
Indonesia,Indonesian islands west of Lombok,IDN_RE,400,--,--,-,o,+,++,++,++,++,+,o,-,,+,-,o,o,-,--,o,o,--,--,-
Southeast Asia,Philippines,PHL,375,+,++,++,++,o,-,--,--,--,-,-,o,o,o,o,+,+,o,--,+,o,-,-,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,East Asia,,450,,,,,,,,,,,,,,,,,,,,,,,,
East Asia,China,,450,,,,,,,,,,,,,+,,,,,,,,,,,
China,China Northeast (Liaoning to Heilongjiang),CHN_NE,450,--,--,--,-,o,+,++,+,+,o,--,--,,o,-,-,--,-,o,-,o,-,o,-
China,China North (Beijing region),CHN_NO,450,--,--,-,o,+,++,+,++,++,+,-,--,,o,-,-,-,+,-,+,o,+,+,+
China,China Northwest (Shaanxi to Xinjiang),CHN_NW,500,--,--,-,o,+,++,++,++,o,o,--,--,,o,-,--,--,-,--,o,o,-,-,-
China,China Southwest (Guangxi to Tibet),CHN_SW,500,--,-,o,+,++,++,+,+,++,+,-,--,,+,+,--,--,o,-,+,+,-,-,-
China,China South-central (Sichuan to Anhui),CHN_SC,450,-,-,o,+,++,+,+,+,++,+,o,-,,o,o,--,--,o,-,o,+,o,o,-
China,"China Southeast (Hainan to Fujian, incl. Hong Kong)",CHN_SE,450,o,o,+,++,o,o,+,+,++,++,+,o,,+,o,+,+,+,--,o,o,++,++,-
China,China East (Shanghai region),CHN_EA,450,-,-,o,+,++,+,+,+,++,+,o,-,,+,o,o,o,+,--,+,o,++,++,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia,Taiwan,TWN,510,-,o,++,++,++,-,--,--,++,++,++,o,++,+,+,+,-,o,--,+,o,+,+,o
East Asia,Japan,JPN,560,-,o,++,++,++,o,-,-,++,++,+,-,++,+,+,o,-,+,o,+,o,++,+,+
East Asia,South Korea,KOR,490,-,-,-,+,+,o,o,o,+,++,+,-,+,+,+,-,-,o,-,+,o,+,+,o
East Asia,North Korea,PRK,400,-,-,-,+,+,o,o,o,+,++,+,-,o,-,--,--,--,--,--,o,--,-,--,--
East Asia,Mongolia,MNG,350,--,--,-,o,+,++,o,o,++,+,o,--,+,o,o,--,--,-,-,o,o,--,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,Central Asia,,350,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia,Uzbekistan and Turkmenistan,UZB,350,--,-,o,o,++,++,+,+,++,++,+,--,o,o,o,--,--,-,o,o,o,o,-,o
Central Asia,Kyrgyzstan and Tajikistan,KGZ,350,--,-,o,o,+,++,++,++,+,o,-,--,o,+,-,--,--,--,--,-,o,--,--,-
Central Asia,Kazakhstan,KAZ,350,--,--,--,-,+,+,+,+,+,-,--,--,o,-,--,--,--,--,--,o,-,-,-,-
Central Asia,Afghanistan,AFG,350,--,--,-,+,+,o,-,o,+,+,o,--,--,-,-,--,--,-,--,o,o,-,-,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Australia,,560,,,,,,,,,,,,,+,,,,,,,,,,,
Australia,Australia West,AUS_WE,560,o,o,++,+,o,-,-,o,++,++,++,o,,+,+,+,+,o,--,o,-,-,o,+
Australia,Australia Northeast,AUS_NE,560,-,-,-,-,o,+,+,++,++,++,+,o,,+,o,++,++,o,--,o,-,-,o,+
Australia,Australia South,AUS_SO,560,o,+,++,++,o,-,-,o,++,++,++,o,,+,+,+,+,o,--,o,-,o,o,++
Oceania,New Zealand,NZL,490,++,++,++,+,o,-,-,-,-,o,+,++,++,++,+,o,o,o,-,o,o,o,o,++
Oceania,Papua New Guinea,PNG,750,--,--,--,-,-,+,+,+,+,o,-,--,o,o,+,o,o,o,--,+,o,-,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceania,Pacific,,400,o,o,o,+,+,+,+,+,+,+,+,o,+,,,,,,,,,,,
Pacific,Micronesia,FSM,750,,,,,,,,,,,,,,+,-,++,+,-,--,+,o,--,-,-
Pacific,Melanesia,SLB,750,,,,,,,,,,,,,,+,-,++,+,-,--,+,o,--,-,-
Pacific,Polynesia,PYF,800,,,,,,,,,,,,,,+,-,++,+,o,--,+,o,--,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,North Europe,,,-,-,-,o,+,++,++,++,+,o,o,-,++,,,,,,,,,,,
North Europe,Norway,NOR,560,,,,,,,,,,,,,,+,+,--,-,-,+,o,o,-,o,++
North Europe,Finland,FIN,525,,,,,,,,,,,,,,+,o,--,-,o,o,o,o,-,o,o
North Europe,Sweden and Denmark,SWE,525,,,,,,,,,,,,,,+,o,-,o,o,o,o,o,o,o,+
North Europe,Iceland and Faroe Islands,ISL,560,,,,,,,,,,,,,,+,+,--,o,-,-,o,-,-,-,+
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,Central Europe,,,o,-,o,o,+,++,++,++,++,+,-,o,+,,,,,,,,,,,
